CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"49,003","19,370","12,04,256",8.82,72.20,-0.90,"1,200",71.20,72.20,25,"24,450.00",25,173.45,175.30,625,-39.20,173.40,10.09,"1,56,147","5,014","9,228",
,"1,69,765","14,865","25,10,922",8.71,54.00,-1.85,"1,225",54.00,54.95,175,"24,500.00",300,205.80,207.00,25,-40.30,207.00,10.24,"3,31,114","-2,340","23,711",
,"41,883","12,702","9,05,150",8.72,40.30,-2.60,"1,200",39.20,40.30,75,"24,550.00",50,238.10,244.60,500,-39.35,244.75,10.53,"27,217",541,"2,640",
,"1,18,713","46,745","12,89,882",8.64,28.70,-3.95,"3,075",28.00,29.00,"3,675","24,600.00",300,278.60,282.80,475,-43.45,279.10,10.25,"72,268","5,107","10,597",
,"62,188","41,448","8,75,513",8.54,19.65,-4.80,150,19.65,20.20,125,"24,650.00",100,311.90,329.90,425,-41.70,320.00,10.41,"8,174",592,"1,362",
,"1,23,956","66,868","13,95,539",8.59,13.80,-4.05,"1,200",13.60,14.00,"4,300","24,700.00",250,365.10,367.10,25,-40.85,367.00,11.13,"17,103",874,"2,987",
,"86,762","61,378","10,72,859",8.57,9.20,-4.05,"2,325",9.00,9.70,500,"24,750.00","1,125",380.05,452.50,"2,300",-40.35,413.15,11.66,"1,787",-83,286,
,"1,55,260","86,217","15,89,233",8.60,6.15,-4.00,375,6.15,6.20,25,"24,800.00",75,458.00,459.70,400,-37.30,459.70,12.15,"10,099",539,"1,579",
,"70,307","34,563","9,43,213",8.74,4.30,-3.35,325,3.80,4.30,"1,075","24,850.00",525,462.70,508.70,50,-34.95,505.95,12.50,392,12,126,
,"88,884","18,081","13,17,316",8.88,3.00,-2.95,150,2.90,3.25,"2,300","24,900.00",75,551.60,558.10,175,-42.65,556.70,13.54,"1,239",-30,480,
,"47,874","17,225","6,56,449",9.34,2.60,-2.15,275,2.30,2.65,"35,725","24,950.00",75,601.10,609.75,175,-44.90,595.35,12.05,162,16,38,
,"2,88,577","72,993","14,60,875",9.57,1.95,-2.05,"43,825",1.90,1.95,"13,025","25,000.00",200,652.60,656.70,50,-37.00,655.20,15.06,"11,128",657,"2,866",
,"29,377","9,446","2,42,460",9.87,1.55,-1.70,"3,300",1.50,1.60,"5,400","25,050.00",150,694.85,707.55,75,"-1,408.20",676.15,-,26,12,12,
,"87,852",443,"7,72,364",10.23,1.30,-1.45,"23,125",1.30,1.35,"69,500","25,100.00",100,749.00,753.50,"1,750",-31.05,753.50,16.44,257,166,212,
,"18,996","6,802","1,16,770",10.77,1.25,-0.95,"3,900",1.25,1.40,375,"25,150.00",900,774.60,805.20,50,90.40,885.60,29.05,22,7,8,
,"1,42,557","26,197","6,42,342",11.17,1.10,-0.80,"1,32,900",1.10,1.15,"39,850","25,200.00",150,848.95,856.55,50,-27.30,860.00,19.49,68,21,41,
,"20,245","6,027","1,12,624",11.81,1.15,-0.65,"34,050",1.05,1.15,"40,750","25,250.00",525,859.50,952.45,250,-,"1,070.00",-,-,-,2,
,"62,360","12,474","3,37,317",12.17,1.00,-0.65,"2,24,575",1.00,1.05,"5,400","25,300.00",150,948.95,955.05,125,-30.50,956.00,20.34,30,1,30,
,"10,770",323,"71,068",12.73,1.00,-0.60,"20,550",1.00,1.05,"1,800","25,350.00",525,959.30,"1,052.60",250,-,-,-,-,-,-,
,"55,268","10,377","2,82,649",13.36,1.05,-0.50,"74,725",1.00,1.05,"18,575","25,400.00",200,"1,048.50","1,055.70",25,-58.55,"1,035.00",12.46,85,-5,135,
,"7,034","3,459","86,488",13.75,0.95,-0.65,"6,175",0.95,1.00,75,"25,450.00",525,"1,048.60","1,151.55",250,-,-,-,-,-,-,
,"1,94,304","72,978","7,57,661",14.20,0.90,-0.75,"4,07,300",0.85,0.90,"31,975","25,500.00",75,"1,147.45","1,155.60",150,-29.75,"1,156.10",23.62,244,55,251,
,"33,954","17,417","1,39,073",14.74,0.90,-0.75,"8,350",0.90,0.95,900,"25,550.00",525,"1,160.25","1,251.45",250,-,-,-,-,-,-,
,"33,361","19,474","1,92,248",15.28,0.90,-0.55,"14,025",0.90,1.05,"6,775","25,600.00",525,"1,204.75","1,303.70",250,-,-,-,-,-,-,
,"30,318","28,210","1,47,372",15.90,0.95,-0.55,"1,375",0.95,1.10,"1,800","25,650.00",525,"1,256.65","1,352.65",250,-,-,-,-,-,-,
,"48,423","23,159","1,68,850",16.23,0.85,-0.50,"6,600",0.85,1.00,"2,100","25,700.00",50,"1,335.60","1,373.55",200,80.00,"1,400.00",35.29,2,-,2,
,"27,462","24,650","1,25,299",16.86,0.90,-0.50,"3,700",0.90,1.15,450,"25,750.00",525,"1,354.65","1,453.95",250,-,-,-,-,-,-,
,"55,398","35,338","2,35,855",17.17,0.80,-0.45,"10,200",0.80,0.90,750,"25,800.00",50,"1,435.35","1,473.50",200,-5.00,"1,480.00",33.63,1,-1,1,
,"34,577","12,417","2,64,503",17.68,0.80,-0.60,"8,100",0.80,0.95,"2,175","25,850.00",525,"1,448.55","1,551.85",250,-,-,-,-,-,-,
,"63,478","28,279","1,88,431",18.07,0.75,-0.55,"63,050",0.70,0.75,"2,950","25,900.00",225,"1,529.80","1,601.55",75,"-1,286.00","1,618.35",41.76,1,1,1,
,"52,851","25,283","1,55,708",18.70,0.80,-0.55,475,0.80,0.85,"1,450","25,950.00",525,"1,507.60","1,648.55",250,-,-,-,-,-,-,
,"1,92,492","1,37,777","10,16,263",18.65,0.60,-0.55,"47,425",0.60,0.65,"8,21,025","26,000.00",525,"1,608.25","1,700.55",875,102.25,"1,749.00",47.99,2,2,34,
,"84,596","44,351","2,29,238",19.30,0.65,-0.50,"81,625",0.60,0.65,"1,67,625","26,050.00",525,"1,592.30","1,764.75",525,"-1,253.30","1,798.35",48.85,2,1,1,
